parkname,lat,lng,wkday,hr_bkt,db
Adams National Historical Park,42.25704165,-71.01134192,0,11 am - 1 pm,52.8
Adams National Historical Park,42.25704165,-71.01134192,0,12 am - 2 am,58.94
Adams National Historical Park,42.25704165,-71.01134192,0,2 pm - 4 pm,55.04
Adams National Historical Park,42.25704165,-71.01134192,0,3 am - 7 am,55.38
Adams National Historical Park,42.25704165,-71.01134192,0,5 pm - 8 pm,56.77
Adams National Historical Park,42.25704165,-71.01134192,0,8 am - 10 am,56.12
Adams National Historical Park,42.25704165,-71.01134192,0,9 pm - 11 pm,57.53
Adams National Historical Park,42.25704165,-71.01134192,1,11 am - 1 pm,52.74
Adams National Historical Park,42.25704165,-71.01134192,1,12 am - 2 am,58.94
Adams National Historical Park,42.25704165,-71.01134192,1,2 pm - 4 pm,54.99
Adams National Historical Park,42.25704165,-71.01134192,1,3 am - 7 am,55.29
Adams National Historical Park,42.25704165,-71.01134192,1,5 pm - 8 pm,56.69
Adams National Historical Park,42.25704165,-71.01134192,1,8 am - 10 am,56.03
Adams National Historical Park,42.25704165,-71.01134192,1,9 pm - 11 pm,57.46
Alewife Brook Greenway,42.41141726,-71.13293409,0,11 am - 1 pm,61.81
Alewife Brook Greenway,42.41141726,-71.13293409,0,12 am - 2 am,62.72
Alewife Brook Greenway,42.41141726,-71.13293409,0,2 pm - 4 pm,62.52
Alewife Brook Greenway,42.41141726,-71.13293409,0,3 am - 7 am,58.38
Alewife Brook Greenway,42.41141726,-71.13293409,0,5 pm - 8 pm,62.57
Alewife Brook Greenway,42.41141726,-71.13293409,0,8 am - 10 am,60.93
Alewife Brook Greenway,42.41141726,-71.13293409,0,9 pm - 11 pm,62.45
Alewife Brook Greenway,42.41141726,-71.13293409,1,11 am - 1 pm,61.79
Alewife Brook Greenway,42.41141726,-71.13293409,1,12 am - 2 am,62.6
Alewife Brook Greenway,42.41141726,-71.13293409,1,2 pm - 4 pm,62.53
Alewife Brook Greenway,42.41141726,-71.13293409,1,3 am - 7 am,58.3
Alewife Brook Greenway,42.41141726,-71.13293409,1,5 pm - 8 pm,62.6
Alewife Brook Greenway,42.41141726,-71.13293409,1,8 am - 10 am,60.89
Alewife Brook Greenway,42.41141726,-71.13293409,1,9 pm - 11 pm,62.32
Amory Park,42.3461054,-71.1141344,0,11 am - 1 pm,66.99
Amory Park,42.3461054,-71.1141344,0,12 am - 2 am,64.29
Amory Park,42.3461054,-71.1141344,0,2 pm - 4 pm,66.9
Amory Park,42.3461054,-71.1141344,0,3 am - 7 am,62.08
Amory Park,42.3461054,-71.1141344,0,5 pm - 8 pm,65.96
Amory Park,42.3461054,-71.1141344,0,8 am - 10 am,65.18
Amory Park,42.3461054,-71.1141344,0,9 pm - 11 pm,65.27
Amory Park,42.3461054,-71.1141344,1,11 am - 1 pm,65.92
Amory Park,42.3461054,-71.1141344,1,12 am - 2 am,63.7
Amory Park,42.3461054,-71.1141344,1,2 pm - 4 pm,65.91
Amory Park,42.3461054,-71.1141344,1,3 am - 7 am,61.45
Amory Park,42.3461054,-71.1141344,1,5 pm - 8 pm,65.1
Amory Park,42.3461054,-71.1141344,1,8 am - 10 am,64.34
Amory Park,42.3461054,-71.1141344,1,9 pm - 11 pm,64.42
Arlington Reservoir Beach,42.42824435,-71.18653569,0,11 am - 1 pm,59.95
Arlington Reservoir Beach,42.42824435,-71.18653569,0,12 am - 2 am,61.47
Arlington Reservoir Beach,42.42824435,-71.18653569,0,2 pm - 4 pm,63.07
Arlington Reservoir Beach,42.42824435,-71.18653569,0,3 am - 7 am,59.96
Arlington Reservoir Beach,42.42824435,-71.18653569,0,5 pm - 8 pm,63.54
Arlington Reservoir Beach,42.42824435,-71.18653569,0,8 am - 10 am,60.27
