lat,lng
42.24,-70.94
42.24,-70.94100386100386
42.24,-70.94200772200772
42.24,-70.94301158301158
42.24,-70.94401544401545
42.24,-70.9450193050193
42.24,-70.94602316602317
42.24,-70.94702702702702
42.24,-70.94803088803089
42.24,-70.94903474903475
42.24,-70.9500386100386
42.24,-70.95104247104247
42.24,-70.95204633204634
42.24,-70.95305019305019
42.24,-70.95405405405405
42.24,-70.9550579150579
42.24,-70.95606177606177
42.24,-70.95706563706564
42.24,-70.95806949806949
42.24,-70.95907335907336
42.24,-70.96007722007722
42.24,-70.96108108108108
42.24,-70.96208494208494
42.24,-70.9630888030888
42.24,-70.96409266409266
42.24,-70.96509652509653
42.24,-70.96610038610038
42.24,-70.96710424710425
42.24,-70.96810810810811
42.24,-70.96911196911196
42.24,-70.97011583011583
42.24,-70.9711196911197
42.24,-70.97212355212355
42.24,-70.97312741312741
42.24,-70.97413127413127
42.24,-70.97513513513513
42.24,-70.976138996139
42.24,-70.97714285714285
42.24,-70.97814671814672
42.24,-70.97915057915058
42.24,-70.98015444015444
42.24,-70.9811583011583
42.24,-70.98216216216215
42.24,-70.98316602316602
42.24,-70.98416988416989
42.24,-70.98517374517374
42.24,-70.9861776061776
42.24,-70.98718146718147
42.24,-70.98818532818532
42.24,-70.98918918918919
42.24,-70.99019305019304
42.24,-70.99119691119691
42.24,-70.99220077220077
42.24,-70.99320463320463
42.24,-70.9942084942085
42.24,-70.99521235521236
42.24,-70.99621621621621
42.24,-70.99722007722008
42.24,-70.99822393822394
42.24,-70.9992277992278
42.24,-71.00023166023166
42.24,-71.00123552123551
42.24,-71.00223938223938
42.24,-71.00324324324325
42.24,-71.0042471042471
42.24,-71.00525096525097
42.24,-71.00625482625483
42.24,-71.00725868725868
42.24,-71.00826254826255
42.24,-71.0092664092664
42.24,-71.01027027027027
42.24,-71.01127413127413
42.24,-71.01227799227799
42.24,-71.01328185328185
42.24,-71.01428571428572
42.24,-71.01528957528957
42.24,-71.01629343629344
42.24,-71.01729729729729
42.24,-71.01830115830116
42.24,-71.01930501930502
42.24,-71.02030888030887
