,lat,lng,n_agg
0,42.0989,-71.0201,1
1,42.1803,-70.9693,1
2,42.1915,-71.2022,1
3,42.1934,-71.1996,1
4,42.1936,-71.2012,1
5,42.1957,-71.0054,1
6,42.1962,-71.0607,1
7,42.197,-71.1994,1
8,42.1991,-70.9373,2
9,42.2066,-71.1546,1
10,42.2126,-70.96,1
11,42.2185,-71.18,1
12,42.2192,-70.9678,2
13,42.2199,-71.0041,1
14,42.22,-71.0227,1
15,42.2201,-70.9691,1
16,42.2203,-70.9685,1
17,42.2204,-71.0292,1
18,42.2206,-71.0327,2
19,42.2207,-71.0041,1
20,42.2214,-71.0259,1
21,42.229,-71.2214,1
22,42.2292,-71.0714,1
23,42.2294,-70.9717,1
24,42.2297,-71.177,2
25,42.2302,-71.1758,2
26,42.2304,-71.176,1
27,42.2309,-71.1778,2
28,42.2311,-71.1777,1
29,42.2315,-71.1787,2
30,42.2316,-71.1827,1
31,42.2339,-71.1781,1
32,42.2346,-70.9783,1
33,42.2388,-71.0031,1
34,42.2412,-70.9911,1
35,42.2413,-70.9916,1
36,42.2419,-71.0038,1
37,42.2423,-71.0151,1
38,42.2424,-70.9589,1
39,42.2426,-71.0164,1
40,42.2427,-70.996,1
41,42.2429,-70.953,1
42,42.2431,-71.0216,1
43,42.2433,-71.1425,1
44,42.244,-71.0035,1
45,42.2443,-71.0035,1
46,42.2452,-70.9714,1
47,42.2457,-71.0004,1
48,42.2465,-70.9765,2
49,42.2468,-71.1735,1
50,42.2473,-70.9798,1
51,42.2474,-71.001,1
52,42.2476,-70.9812,1
53,42.2476,-70.98,2
54,42.2478,-71.1726,1
55,42.248,-71.0045,1
56,42.2481,-71.1734,1
57,42.2481,-71.1721,1
58,42.2481,-71.172,1
59,42.2483,-71.0015,1
60,42.2484,-71.0016,1
61,42.2485,-71.1752,1
62,42.2487,-71.0011,2
63,42.2488,-71.0019,2
64,42.2488,-71.0018,2
65,42.2489,-71.0014,1
66,42.2493,-71.0024,2
67,42.2496,-71.0014,1
68,42.2499,-71.002,1
69,42.25,-70.9942,1
70,42.2506,-71.0027,1
71,42.2507,-70.9992,1
72,42.251,-71.1704,1
73,42.2519,-71.004,1
74,42.252,-70.9875,1
75,42.252,-70.9224,1
76,42.2522,-71.0044,1
77,42.2522,-71.0033,2
78,42.2524,-70.9221,1
79,42.2546,-71.1203,2
80,42.2551,-71.0066,1
81,42.2555,-71.1211,1
82,42.2557,-71.0312,1
83,42.2558,-71.1228,1
84,42.2579,-71.1678,1
85,42.2583,-71.0404,1
86,42.2583,-71.0398,1
87,42.2585,-71.0408,1
88,42.2593,-71.1594,1
89,42.2593,-71.1589,1
90,42.2596,-70.9949,1
91,42.2607,-71.1571,1
92,42.2613,-70.9921,1
93,42.2614,-71.1573,1
94,42.2644,-71.1777,1
95,42.2659,-71.0213,1
96,42.267,-71.015,1
97,42.2673,-71.0152,1
98,42.2674,-71.016,1
99,42.2675,-71.016,1
100,42.2678,-71.0161,1
101,42.2679,-71.1763,1
102,42.2692,-71.0237,2
103,42.2698,-71.0725,1
104,42.2708,-71.1717,1
105,42.2722,-71.024,1
106,42.2724,-71.0682,2
107,42.2728,-71.0248,1
108,42.2729,-71.0256,1
109,42.273,-71.0681,1
110,42.2731,-71.0251,1
111,42.2734,-71.068,1
112,42.2734,-71.0256,1
113,42.2735,-71.0677,2
114,42.2738,-71.026,1
115,42.274,-71.0244,1
116,42.2741,-71.0259,1
117,42.2741,-71.0243,1
118,42.2743,-71.0242,1
119,42.2753,-71.006,1
120,42.2758,-71.1668,1
121,42.2764,-71.0092,1
122,42.2765,-71.1654,1
123,42.2772,-71.1727,1
124,42.2776,-71.1639,1
125,42.2787,-71.119,1
126,42.2788,-71.1368,1
127,42.28,-71.236,1
128,42.2802,-71.235,1
129,42.2813,-71.029,1
130,42.2822,-71.133,1
131,42.2823,-71.0559,2
132,42.2833,-71.0559,1
133,42.2838,-71.0913,1
134,42.2839,-71.0647,1
135,42.284,-71.0553,2
136,42.2854,-71.1558,1
137,42.2857,-71.1557,1
138,42.2857,-71.1554,1
139,42.286,-71.1558,2
140,42.286,-71.1556,1
141,42.2861,-71.1546,1
142,42.2861,-71.0647,1
143,42.2862,-71.1299,1
144,42.2862,-71.1291,1
145,42.2864,-71.137,1
146,42.2864,-71.0439,1
147,42.2865,-71.13,1
148,42.2867,-71.1299,3
149,42.287,-71.1295,1
150,42.2871,-71.1497,2
151,42.2872,-71.1292,2
152,42.2872,-71.1277,1
153,42.2873,-71.1503,1
154,42.2873,-71.1497,1
155,42.2874,-71.1507,1
156,42.2874,-71.1493,2
157,42.2895,-71.0632,1
158,42.2911,-71.063,1
159,42.2935,-71.2348,1
160,42.2945,-71.0481,1
161,42.2963,-71.1569,1
162,42.2969,-71.1171,1
163,42.2992,-71.0581,1
164,42.2994,-71.0606,2
165,42.2996,-71.0738,1
166,42.3002,-71.1132,1
167,42.3003,-71.1131,2
168,42.3003,-71.1129,1
169,42.3006,-71.1128,1
170,42.3011,-71.0597,1
171,42.3023,-71.0599,1
172,42.3036,-71.1521,2
173,42.3038,-71.2213,1
174,42.3039,-71.0592,1
175,42.3044,-71.059,1
176,42.3061,-71.1076,1
177,42.3064,-71.1072,2
178,42.3079,-71.2147,1
179,42.3079,-71.1158,1
180,42.3084,-71.058,1
181,42.3092,-71.2212,1
182,42.3095,-71.2142,1
183,42.3095,-71.1042,1
184,42.31,-71.1156,1
185,42.31,-71.1154,1
186,42.3106,-71.1147,1
187,42.3109,-71.1144,1
188,42.3114,-71.1143,2
189,42.3115,-71.054,1
190,42.3117,-71.0535,1
191,42.3127,-71.224,1
192,42.3128,-71.1141,1
193,42.3128,-71.114,1
194,42.3129,-71.0575,1
195,42.313,-71.0574,1
196,42.3134,-71.2116,2
197,42.3144,-71.1041,2
198,42.3147,-71.104,1
199,42.3149,-71.1142,1
200,42.3149,-71.0568,1
201,42.3158,-71.2098,1
202,42.3164,-71.1032,1
203,42.3187,-71.1761,1
204,42.3188,-71.1759,1
205,42.3191,-71.1116,2
206,42.3192,-71.1777,2
207,42.3193,-71.1843,1
208,42.3196,-71.1767,2
209,42.3207,-71.2054,1
210,42.3207,-71.1105,1
211,42.3211,-71.2058,2
212,42.3213,-71.1761,1
213,42.3216,-71.2079,1
214,42.3217,-71.1104,1
215,42.3218,-71.1762,1
216,42.322,-71.1093,1
217,42.3221,-71.1093,1
218,42.3222,-71.1093,1
219,42.3225,-71.1696,1
220,42.3225,-71.1083,1
221,42.3227,-71.1067,1
222,42.323,-71.1632,1
223,42.3233,-71.1653,1
224,42.3254,-71.0707,1
225,42.3275,-71.1245,1
226,42.3288,-71.0571,2
227,42.3296,-71.1927,1
228,42.3297,-71.1269,1
229,42.3299,-71.1939,1
230,42.3301,-71.1935,2
231,42.3301,-71.1922,1
232,42.3302,-71.1951,1
233,42.3304,-71.1948,1
234,42.3305,-71.191,1
235,42.3307,-71.1922,1
236,42.3307,-71.1919,1
237,42.3307,-71.1917,1
238,42.3308,-71.2095,2
239,42.3311,-71.193,1
240,42.3312,-71.1188,1
241,42.3313,-71.1954,1
242,42.3322,-71.0996,2
243,42.3326,-71.1179,1
244,42.3331,-71.1194,1
245,42.3331,-71.0272,2
246,42.3333,-71.1189,1
247,42.3334,-71.1194,1
248,42.3338,-71.119,1
249,42.3338,-71.1052,1
250,42.3341,-71.1055,2
251,42.3341,-71.1053,1
252,42.3347,-71.1189,1
253,42.3347,-71.102,2
254,42.335,-71.1501,1
255,42.3351,-71.0572,1
256,42.3354,-71.0398,1
257,42.3355,-71.0747,1
258,42.3363,-71.0476,2
259,42.3366,-71.1493,1
260,42.3366,-71.1492,1
261,42.3368,-71.1516,1
262,42.3369,-71.076,1
263,42.337,-71.0759,2
264,42.337,-71.0477,2
265,42.3372,-71.0438,2
266,42.3378,-71.0274,1
267,42.3384,-71.0745,1
268,42.3385,-71.1374,1
269,42.3386,-71.1368,1
270,42.3387,-71.1389,2
271,42.3387,-71.1346,1
272,42.3388,-71.0132,1
273,42.3389,-71.076,1
274,42.3391,-71.1352,2
275,42.3391,-71.0804,1
276,42.3394,-71.1367,2
277,42.3396,-71.1362,1
278,42.3397,-71.1357,1
279,42.3398,-71.0824,2
280,42.3399,-71.0725,2
281,42.3403,-71.1664,1
282,42.3409,-71.0816,2
283,42.341,-71.0674,2
284,42.3411,-71.0878,1
285,42.3412,-71.0815,1
286,42.3412,-71.0706,1
287,42.3413,-71.1255,1
288,42.3413,-71.1212,1
289,42.3413,-71.0569,1
290,42.3414,-71.0702,2
291,42.3415,-71.0696,2
292,42.3416,-71.1541,1
293,42.3416,-71.1212,1
294,42.3417,-71.0808,1
295,42.3417,-71.0805,1
296,42.3418,-71.1542,1
297,42.3418,-71.0557,1
298,42.3419,-71.0659,2
299,42.3419,-71.0552,1
300,42.3421,-71.0704,1
301,42.3424,-71.0841,1
302,42.3424,-71.0704,2
303,42.3425,-71.1219,1
304,42.3426,-71.1207,1
305,42.3428,-71.0568,1
306,42.3429,-71.1222,1
307,42.3429,-71.069,2
308,42.343,-71.1194,1
309,42.343,-71.0992,1
310,42.3432,-71.0992,1
311,42.3432,-71.099,2
312,42.3432,-71.0726,2
313,42.3432,-71.0664,1
314,42.3433,-71.1428,2
315,42.3433,-71.1235,1
316,42.3434,-71.1427,1
317,42.3435,-71.0687,1
318,42.3438,-71.0724,1
319,42.3438,-71.0663,2
320,42.3439,-71.1237,1
321,42.3439,-71.1011,2
322,42.3439,-71.0776,1
323,42.3439,-71.0712,2
324,42.344,-71.1003,1
325,42.3441,-71.0777,2
326,42.3442,-71.098,1
327,42.3443,-71.0309,1
328,42.3446,-71.0983,1
329,42.3446,-71.0636,1
330,42.3447,-71.0714,2
331,42.3448,-71.096,1
332,42.3449,-71.1268,1
333,42.3449,-71.1005,1
334,42.3449,-71.0896,1
335,42.3449,-71.0705,4
336,42.345,-71.1269,1
337,42.3451,-71.0635,2
338,42.3453,-71.1266,1
339,42.3453,-71.1003,2
340,42.3455,-71.1268,1
341,42.3458,-71.107,1
342,42.3458,-71.0874,1
343,42.3461,-71.1277,1
344,42.3462,-71.1281,1
345,42.3462,-71.075,2
346,42.3463,-71.1078,1
347,42.3464,-71.107,1
348,42.3467,-71.0695,1
349,42.3468,-71.0885,1
350,42.3468,-71.0693,1
351,42.3469,-71.0761,1
352,42.3469,-71.0756,1
353,42.347,-71.0967,1
354,42.3471,-71.0857,1
355,42.3472,-71.0991,1
356,42.3473,-71.0854,1
357,42.3474,-71.1062,1
358,42.3475,-71.1032,1
359,42.3475,-71.0814,1
360,42.3478,-71.0851,2
361,42.3479,-71.1497,1
362,42.3479,-71.036,1
363,42.3482,-71.0866,1
364,42.3482,-71.0728,1
365,42.3483,-71.2299,1
366,42.3483,-71.1399,1
367,42.3483,-71.0738,1
368,42.3484,-71.2066,1
369,42.3484,-71.139,1
370,42.3485,-71.0938,1
371,42.3485,-71.0854,1
372,42.3485,-71.0843,2
373,42.3485,-71.0732,2
374,42.3486,-71.0944,1
375,42.3486,-71.0823,2
376,42.3486,-71.0791,1
377,42.3486,-71.0679,1
378,42.3486,-71.0391,2
379,42.3486,-71.0378,2
380,42.3487,-71.096,2
381,42.3487,-71.0954,1
382,42.3487,-71.0951,2
383,42.3488,-71.1523,2
384,42.3488,-71.0863,2
385,42.3488,-71.0779,2
386,42.3488,-71.0772,1
387,42.3488,-71.0384,1
388,42.3489,-71.1529,1
389,42.3489,-71.0385,1
390,42.349,-71.1542,1
391,42.349,-71.1523,2
392,42.3492,-71.0816,2
393,42.3492,-71.0811,2
394,42.3493,-71.2068,1
395,42.3493,-71.1542,1
396,42.3493,-71.0844,1
397,42.3494,-71.1496,1
398,42.3494,-71.0721,2
399,42.3495,-71.2298,1
400,42.3495,-71.2266,1
401,42.3495,-71.0892,2
402,42.3496,-71.135,2
403,42.3496,-71.0953,1
404,42.3496,-71.0833,2
405,42.3496,-71.0475,2
406,42.3497,-71.2072,1
407,42.3497,-71.0892,2
408,42.3497,-71.0812,2
409,42.3498,-71.1334,1
410,42.3499,-71.0892,1
411,42.3499,-71.0471,2
412,42.35,-71.1644,1
413,42.35,-71.0485,2
414,42.3501,-71.1306,1
415,42.3501,-71.1262,1
416,42.3501,-71.0894,1
417,42.3501,-71.0817,1
418,42.3502,-71.1648,1
419,42.3502,-71.1321,1
420,42.3502,-71.0796,1
421,42.3503,-71.1318,1
422,42.3503,-71.049,1
423,42.3505,-71.1681,1
424,42.3505,-71.0798,1
425,42.3505,-71.0484,2
426,42.3506,-71.0775,2
427,42.3507,-71.0762,1
428,42.3507,-71.0681,1
429,42.3507,-71.0485,3
430,42.3508,-71.117,1
431,42.3508,-71.0606,1
432,42.3509,-71.1313,1
