,lat,lng,loudness,made_at,user
0,42.389332,-71.035087,65.61,2016-03-25 08:02:37,6539
1,42.389332,-71.035087,65.94,2016-03-25 08:02:35,6539
2,42.389332,-71.035087,63.31,2016-03-25 08:02:33,6539
3,42.389332,-71.035087,63.89,2016-03-25 08:02:31,6539
4,42.389332,-71.035087,64.73,2016-03-25 08:02:29,6539
5,42.389332,-71.035087,62.98,2016-03-25 08:02:27,6539
6,42.389332,-71.035087,63.43,2016-03-25 08:02:25,6539
7,42.389332,-71.035087,64.02,2016-03-25 08:02:23,6539
8,42.389332,-71.035087,63.7,2016-03-25 08:02:21,6539
9,42.389332,-71.035087,63.69,2016-03-25 08:02:19,6539
10,42.389332,-71.035087,65.17,2016-03-25 08:02:17,6539
11,42.389332,-71.035087,63.67,2016-03-25 08:02:15,6539
12,42.389332,-71.035087,62.82,2016-03-25 08:02:13,6539
13,42.389332,-71.035087,63.45,2016-03-25 08:02:11,6539
14,42.389332,-71.035087,63.39,2016-03-25 08:02:09,6539
15,42.389332,-71.035087,63.86,2016-03-25 08:02:07,6539
16,42.389332,-71.035087,62.47,2016-03-25 08:02:05,6539
17,42.389332,-71.035087,63.54,2016-03-25 08:02:03,6539
18,42.389402,-71.035059,63.54,2016-03-25 08:02:01,6539
19,42.389402,-71.035059,63.93,2016-03-25 08:01:59,6539
20,42.389402,-71.035059,64.82,2016-03-25 08:01:57,6539
21,42.389402,-71.035059,66.78,2016-03-25 08:01:55,6539
22,42.389402,-71.035059,64.11,2016-03-25 08:01:53,6539
23,42.389402,-71.035059,63.79,2016-03-25 08:01:51,6539
24,42.389402,-71.035059,65.44,2016-03-25 08:01:49,6539
25,42.389402,-71.035059,63.94,2016-03-25 08:01:47,6539
26,42.389402,-71.035059,62.99,2016-03-25 08:01:45,6539
27,42.389402,-71.035059,62.77,2016-03-25 08:01:43,6539
28,42.389402,-71.035059,62.48,2016-03-25 08:01:41,6539
29,42.389402,-71.035059,62.1,2016-03-25 08:01:39,6539
30,42.389402,-71.035059,63.26,2016-03-25 08:01:37,6539
31,42.389402,-71.035059,63.47,2016-03-25 08:01:35,6539
32,42.389402,-71.035059,63.12,2016-03-25 08:01:33,6539
33,42.389402,-71.035059,63.41,2016-03-25 08:01:31,6539
34,42.389402,-71.035059,63.77,2016-03-25 08:01:29,6539
35,42.38937,-71.035098,64.53,2016-03-25 08:01:27,6539
36,42.38937,-71.035098,63.74,2016-03-25 08:01:25,6539
37,42.38937,-71.035098,64.22,2016-03-25 08:01:23,6539
38,42.38937,-71.035098,63.71,2016-03-25 08:01:21,6539
39,42.38937,-71.035098,64.72,2016-03-25 08:01:19,6539
40,42.38937,-71.035098,65.34,2016-03-25 08:01:17,6539
41,42.38937,-71.035098,63.93,2016-03-25 08:01:15,6539
42,42.38937,-71.035098,64.29,2016-03-25 08:01:13,6539
43,42.38937,-71.035098,61.94,2016-03-25 08:01:11,6539
44,42.38937,-71.035098,60.65,2016-03-25 08:01:09,6539
45,42.38937,-71.035098,62.64,2016-03-25 08:01:07,6539
46,42.38937,-71.035098,63.63,2016-03-25 08:01:05,6539
47,42.38937,-71.035098,63.76,2016-03-25 08:01:03,6539
48,42.38937,-71.035098,62.87,2016-03-25 08:01:01,6539
49,42.38937,-71.035098,61.81,2016-03-25 08:00:59,6539
50,42.38937,-71.035098,63.03,2016-03-25 08:00:57,6539
51,42.389364,-71.034987,63.09,2016-03-25 08:00:55,6539
52,42.389364,-71.034987,63.79,2016-03-25 08:00:53,6539
53,42.389364,-71.034987,64.41,2016-03-25 08:00:51,6539
54,42.389364,-71.034987,63.74,2016-03-25 08:00:49,6539
55,42.389364,-71.034987,61.67,2016-03-25 08:00:47,6539
56,42.389364,-71.034987,62.26,2016-03-25 08:00:45,6539
57,42.389364,-71.034987,62.7,2016-03-25 08:00:43,6539
58,42.389364,-71.034987,62.59,2016-03-25 08:00:41,6539
59,42.389364,-71.034987,61.97,2016-03-25 08:00:39,6539
60,42.389399,-71.035019,62.0,2016-03-25 08:00:37,6539
61,42.389399,-71.035019,62.93,2016-03-25 08:00:35,6539
62,42.389399,-71.035019,63.2,2016-03-25 08:00:33,6539
63,42.389399,-71.035019,62.5,2016-03-25 08:00:31,6539
64,42.389399,-71.035019,62.19,2016-03-25 08:00:29,6539
65,42.389399,-71.035019,61.79,2016-03-25 08:00:27,6539
66,42.389399,-71.035019,61.57,2016-03-25 08:00:25,6539
67,42.389399,-71.035019,61.87,2016-03-25 08:00:23,6539
68,42.389399,-71.035019,65.48,2016-03-25 08:00:21,6539
69,42.389457,-71.035018,63.16,2016-03-25 08:00:19,6539
70,42.389457,-71.035018,63.62,2016-03-25 08:00:17,6539
71,42.389457,-71.035018,62.95,2016-03-25 08:00:15,6539
72,42.389457,-71.035018,62.52,2016-03-25 08:00:13,6539
73,42.389457,-71.035018,62.23,2016-03-25 08:00:11,6539
74,42.389457,-71.035018,62.56,2016-03-25 08:00:09,6539
75,42.389459,-71.034782,61.75,2016-03-25 08:00:07,6539
76,42.389459,-71.034782,62.57,2016-03-25 08:00:05,6539
77,42.389459,-71.034782,62.97,2016-03-25 08:00:03,6539
78,42.389459,-71.034782,64.1,2016-03-25 08:00:01,6539
79,42.389459,-71.034782,63.39,2016-03-25 08:00:00,6539
