,name,lat,lng
0,Neptune Oyster,42.3632711771092,-71.0560575975533
1,Giacomo's Ristorante,42.36458,-71.05344
2,Island Creek Oyster Bar,42.348682243174,-71.095118452365
3,Toro,42.3369631861411,-71.0758940796503
4,Atlantic Fish Co,42.3492217873536,-71.0811272917217
5,Mad Hatter,42.1990629,-70.9373113
6,Row 34,42.3495808510305,-71.0475044128162
7,Regina Pizzeria,42.3654185550275,-71.0568833173494
8,Fuji At WoC,42.2493081539869,-71.002384275198
9,Gaslight,42.3409677894859,-71.0673901926598
10,Barcelona Wine Bar South End,42.3449355147724,-71.0705436362457
11,Passport Sips & Tapas,42.2192343,-70.9678352
12,Lolita Cocina & Tequila Bar Back Bay,42.3505860446405,-71.077508474716
13,Saltie Girl,42.3511377,-71.0776626
14,Eastern Standard Kitchen & Drinks,42.348740324378,-71.0960168391466
15,Picco Pizza & Ice Cream,42.3448751089207,-71.0705310984679
16,Barcelona Wine Bar,42.3387152,-71.1389332
17,The Friendly Toast,42.3485299,-71.07325
18,The Capital Grille,42.3478110031284,-71.0851110928626
19,Bostonia Public House,42.359213,-71.054296
20,Saus,42.3610800091721,-71.0570718850568
21,Myers & Chang,42.3438187315924,-71.066250270967
22,Drink,42.35067,-71.04846
23,Craigie On Main,42.3634817952265,-71.0986128859795
24,The Beehive,42.3446991683707,-71.0713935252701
25,Parish Cafe and Bar,42.351822284275,-71.071625035216
26,Maggy's Lounge,42.2464981,-70.9764872
27,The Townshend,42.25223,-71.00326
28,Marliave,42.357014071346,-71.060306250729
29,Yvonne's,42.35549,-71.06141
30,Abe & Louie's,42.3492240905762,-71.0815887451172
31,Cuchi Cuchi,42.3634434,-71.0971361
32,B&G Oysters,42.34388,-71.07123
33,Giacomo's,42.34406,-71.077732
34,Cafe Polonia,42.3288102,-71.057086
35,Sorellina,42.3488367161261,-71.0779036594912
36,Russell House Tavern,42.373113889528,-71.119494214654
37,Union Oyster House,42.36126,-71.05688
38,Panza,42.3646699,-71.05382
39,Grill 23 & Bar,42.3494218727725,-71.0720500564835
40,Fuji at Ink Block,42.345077,-71.063505
41,SRV Boston,42.3409180006501,-71.0816150531173
42,Legal Harborside,42.34865,-71.03779
43,Boston Sail Loft,42.362543759667,-71.050748116975
44,Deep Ellum,42.3539,-71.13719
45,Top of the Hub,42.3485661293609,-71.0822875410004
46,Sweet Cheeks Q,42.343898,-71.101103
47,The Gallows,42.3413899,-71.07019
48,Menton,42.3504581,-71.0483829
49,Milkweed,42.332183,-71.099586
50,Zef Cicchetti & Raw Bar,42.2487677,-71.0018511
51,Coop's Bar & Grille,42.2475812,-70.9800441
52,The Fours,42.24866,-71.00114
53,Idle Hour,42.24877,-71.00178
54,110 Grill,42.2206394350797,-71.0327170131634
55,The Publick House,42.3394130267999,-71.1367036548893
56,Area Four,42.363073,-71.0924589
57,Davio's,42.2199833484881,-71.0227216546796
58,The Druid,42.37382,-71.10021
59,Deuxave,42.349521,-71.089166
60,Yard House,42.2301827,-71.1757719
61,Brassica Kitchen & Cafe,42.30026,-71.1131
62,Porter Cafe,42.287438,-71.149294
63,Fairmount Grille,42.2545537,-71.1202539
64,Tres Gatos,42.31907,-71.11164
65,Aquitaine,42.231488,-71.178664
66,Legal C Bar,42.230881,-71.17782
67,Kings Dining & Entertainment - Dedham,42.2296991956888,-71.1770034571424
68,Highland Kitchen,42.38818,-71.10324
69,Cagney's Restaurant & Pub,42.2500489,-70.9942377
70,Sly Fox Tavern,42.2431030273438,-71.0215835571289
71,Yellow Door Taqueria,42.27235,-71.06824
72,Rozafa Mediterranean Bistro,42.255094,-71.006609
73,La Paloma Mexican Restaurant,42.2691794,-71.0237068
74,Doyle’s Cafe,42.3064270019531,-71.1072463989258
75,Redbones BBQ,42.395206451416,-71.1223602294922
76,Midway Restaurant,42.250982,-71.17045
77,Sweet Life Bakery & Cafe,42.2734565734863,-71.0677490234375
78,Lucy's American Tavern,42.282272,-71.0558719
79,Lower Mills Tavern,42.27298,-71.06807
80,753 South,42.28721,-71.12924
81,West On Centre,42.287136434029,-71.149664475126
82,The Farmhouse,42.2800473954127,-71.2360419069074
83,The Industry,42.28395,-71.0553
84,Birch Street Bistro,42.28674,-71.1299
85,The Squealing Pig,42.28596,-71.15582
86,The Blarney Stone,42.2993708,-71.0606029
87,Galway House,42.311373891743,-71.114338487506
88,Putterham Grille,42.3036429481198,-71.152104452745
89,The Capital Grille,42.319210523384,-71.1776752153702
90,District 118 Kitchen and Bar,42.31342,-71.2116
91,Loco Taqueria & Oyster Bar,42.3369670759542,-71.0477377406966
92,Lincoln Tavern and Restaurant,42.33632,-71.04763
93,Savin Bar & Kitchen,42.31171,-71.05346
94,GrandTen Distilling,42.3350791931152,-71.0572052001953
95,Stella,42.33994,-71.0725
96,Boston Chops,42.3415074053928,-71.0696210990184
97,Bully Boy Distillers,42.3253973,-71.0707283
98,Bella Luna Restaurant & The Milky Way Lounge,42.314362032808,-71.104138981922
99,Brendan Behan Pub,42.32196,-71.10927
100,Penguin Pizza,42.3340617633654,-71.1054841064522
101,Simpli Bar & Bites,42.2968849,-71.1170531
102,O'Hara's Food & Spirits,42.3211096,-71.2058315
103,The Biltmore Bar & Grille,42.309219597657,-71.2211714941433
104,Bricco,42.36309,-71.05495
105,Local 149,42.333072,-71.027201
106,Franklin Cafe,42.34291,-71.06895
107,Bar Mezzana,42.3445756001492,-71.0635791144088
108,Harp & Bard,42.31305,-71.05745
109,Cinquecento,42.34191,-71.06592
110,Piattini,42.34969,-71.08122
111,Metropolis,42.34324,-71.072621
112,Coda,42.3462394,-71.0750068
113,Sonsie,42.34884,-71.08625
114,The Pour House,42.3484840393066,-71.0843353271484
115,Cornish Pasty,42.349712092998,-71.0891945599281
116,The Squealing Pig,42.3347264719514,-71.102044028064
117,The Frogmore,42.3225067822998,-71.1082798987627
118,Midway Cafe,42.3061329,-71.1075658
119,Matt Murphy's Pub,42.3333065060435,-71.1189169778041
120,The Washington Square Tavern,42.339123,-71.135212
121,The Glenville Stops,42.3495561,-71.1349697
122,Lone Star Taco Bar,42.353849,-71.137078
123,Bamboo Thai Restaurant,42.343273,-71.142808
124,Seasons 52,42.3195532384927,-71.176659778639
125,Max and Leo's,42.3569993,-71.1868365
126,COOK,42.3518567,-71.2069643
127,Manow Thai Kitchen,42.33078,-71.20953
128,Legal Sea Foods,42.3595530399974,-71.0510174185038
129,KO Pies At the Shipyard,42.364075640365,-71.0316231238073
130,Barking Crab,42.3534472149055,-71.0486004152558
131,Publico Street Bistro & Garden,42.3372,-71.04375
132,Committee,42.353665,-71.047096
133,Fleming's Prime Steakhouse & Wine Bar - Boston,42.350696773753,-71.06805379594
134,Lucky's Lounge,42.35004,-71.04848
135,Silvertone,42.3571471,-71.0608731
136,KAVA neo-taverna,42.34239,-71.07043
137,Darryl's Corner Bar & Kitchen,42.33976,-71.08241
138,The Hawthorne,42.3486925877382,-71.0953666879285
139,Summer Shack - Boston,42.347067,-71.085658
140,Bleacher Bar,42.3469855442944,-71.096686816461
141,Yard House,42.3453025325918,-71.1003178238538
142,Bukowski Tavern,42.34726832024,-71.085402407346
143,The Mission Bar & Grill,42.33375,-71.10523
144,Blossom Bar,42.333407,-71.119398
145,Burro Bar Brookline,42.33849,-71.13739
146,Lulu's Allston,42.3550647,-71.1341649
147,Sushi Momento,42.33497,-71.15007
148,Aquitaine Chestnut Hill,42.3233449660479,-71.1653285883543
149,Devlin's,42.34878,-71.15231
150,Buff's Pub,42.3571185085622,-71.1864730423323
151,Four Spoons Thai Inspired Cuisine & Bar,42.33008,-71.19348
152,Buttonwood,42.3215849,-71.2078985
153,Mooo Restaurant,42.3583014944831,-71.0619811489821
154,Nico Ristorante,42.3656649,-71.0528222
155,Limoncello Ristorante,42.3634326,-71.0539465
156,Legal Test Kitchen,42.348585,-71.039075
157,Amrheins,42.34191,-71.05522
158,Worden Hall,42.3427610900378,-71.0568092748732
159,South End Buttery,42.342109,-71.0704467
160,The Elephant Walk,42.34116,-71.070578
161,Anchovies,42.343939,-71.077598
162,Five Horses Tavern,42.3417445441842,-71.0805253552637
163,MIDA,42.3390798790878,-71.0804313331291
164,Tiger Mama,42.3440377,-71.1002795
165,SOJUba,42.34475,-71.09596
166,BEERWORKS No. 1 Fenway,42.3472099,-71.09913
167,The Lower Depths,42.34851,-71.09385
168,Hops N Scotch,42.342638,-71.120666
169,The Avenue,42.35017,-71.132128
170,Hopewell Bar & Kitchen,42.3498153686523,-71.1334228515625
171,Harry's Bar & Grill,42.3483007201325,-71.1399161799289
172,Brothers Restaurant,42.34502,-71.12693
173,Brighton Bodega,42.348951045596,-71.1522706222963
174,Stockyard Restaurant,42.357783,-71.1486165
175,Paddy's,42.34948,-71.22982
176,The Tip Tap Room,42.36105,-71.063986
177,Jm Curley,42.3552425760626,-71.0623372441206
178,City Tap House,42.3499185,-71.0470911
179,Temazcal Tequila Cantina,42.348829346236,-71.03836869201
180,"Pastoral - Artisan Pizza, Kitchen & Bar",42.35026,-71.04895
181,Les Zygomates,42.351162781091,-71.057466873432
182,Maggiano's Little Italy,42.3513145744801,-71.0684162378311
183,Bistro du Midi,42.351981434352,-71.069533707682
184,Wink & Nod,42.3466991630507,-71.0694792474231
185,La Voile,42.34963,-71.0833
186,Earls Kitchen + Bar,42.34751,-71.08135
187,Stephanie's On Newbury,42.35018,-71.07959
188,Woody's Grill and Tap,42.344859,-71.089571
189,Corner Tavern,42.3501434326172,-71.0894393920898
190,Audubon Boston,42.347459,-71.10323
191,Paradise Rock Club,42.351892,-71.1194825
192,Sunset Cantina,42.35085,-71.117
193,Great Scott,42.350110458424,-71.13059276837
194,Prairie Fire,42.3413165917443,-71.1211846632675
195,Article 24,42.361896,-71.142204
196,Silhouette Lounge,42.353,-71.1343
197,Branch Line,42.3636838,-71.1666722
198,Brewer's Coalition,42.3484321320637,-71.2065752210698
199,West Street Tavern & Restaurant,42.3603355139494,-71.2009267508984
200,The Gaff,42.3681742697954,-71.2374946475029
201,Tempo,42.3679580688477,-71.2369537353516
202,Legal Sea Foods,42.36342,-71.0257
203,Legal Test Kitchen,42.363453,-71.0257812
204,State Street Provisions,42.35944,-71.05113
205,Meritage Restaurant,42.3562283,-71.0505545
206,Trade,42.353533,-71.053072
207,Mr. Dooley's,42.35765,-71.0536599
208,Biddy Early's,42.35465,-71.05374
209,Terramia Ristorante,42.364028,-71.055697
210,The Black Rose,42.3594142632159,-71.0536410447498
211,21st Amendment,42.358355,-71.062686
212,Joe's American Bar & Grill,42.350469,-71.079786
213,Cafeteria Boston,42.3492655410978,-71.084402514809
214,Little Donkey,42.3642899,-71.10154
215,Green Street,42.36452,-71.10419
216,Asta,42.3498513,-71.0891662
217,Park Restaurant & Bar,42.3718681,-71.1208725
218,Waypoint,42.36943,-71.1123
219,Grafton Street,42.3722389912824,-71.1159181268549
220,The Hourly Oyster House,42.37291,-71.11904
221,Tavern Allston,42.35327,-71.13245
222,Myung Dong 1st Ave,42.3532253,-71.1319531
223,Irish Village,42.35485,-71.14969
224,Cigar and Lounge,42.3682996630669,-71.1609511077404
225,Social Restaurant & Bar,42.356596,-71.1868268
226,Ritcey East,42.3769985786511,-71.1883542314172
227,"Sangria Restaurante, Tapas & Bar",42.3601041734219,-71.2021303921938
228,In A Pickle Restaurant,42.3716928,-71.2369323
229,Bistro781,42.3703116,-71.2368683
230,Charcoal Guido's,42.3679556156134,-71.2373599737291
231,The Brewer's Fork,42.37671,-71.05649
232,Rigoletto Ristorante,42.3643884000782,-71.0553724343586
233,Ward 8,42.3653984,-71.0586472
234,The Warren Tavern,42.37422,-71.06311
235,Trattoria Il Panino,42.3639326,-71.0545565
236,Lucca Restaurant & Bar,42.3631864,-71.0550955
237,The Bell In Hand,42.3615760803223,-71.0570678710938
238,TreMonte Restaurant & Bar North End,42.3636,-71.05603
239,Pellino's Ristorante,42.36403,-71.05362
240,Ma Maison,42.3609838,-71.0680064
241,Atwood's Tavern,42.37275,-71.09145
242,backbar,42.3797392845154,-71.0945945978165
243,Meadhall,42.363786693677,-71.087323725337
244,Trina's Starlite Lounge,42.374619071059,-71.101530844105
245,Lone Star Taco Bar,42.37212,-71.08687
246,Puritan & Company,42.3731070676765,-71.0967491705349
247,Miracle of Science Bar + Grill,42.3625772892949,-71.0985866559435
248,Lamplighter Brewing,42.36778,-71.09797
249,Bergamot,42.378104828163,-71.106322143569
250,Lord Hobo,42.3687629699707,-71.095100402832
251,State Park,42.366157,-71.090785
252,Loyal Nine,42.37192,-71.08761
253,Viale,42.3640620675438,-71.101846916568
254,Middle East Restaurant and Nightclub,42.3637902,-71.1012764
255,The Field,42.3657738363216,-71.1035370826721
256,Brick & Mortar,42.3648518001961,-71.1024431306885
257,The Cellar Food & Drink,42.3694,-71.11103
258,Grendel's Den Restaurant & Bar,42.372501,-71.1209673
259,Shays Pub & Wine Bar,42.3717754,-71.1208141
260,Harvest,42.3736842141857,-71.1220836964934
261,The People's Republik,42.36777,-71.10778
262,Cambridge Common,42.382133040905,-71.119461647643
263,Saloniki Greek,42.3726399,-71.11901
264,The Painted Burro,42.394552014608,-71.1210836503978
265,La Bodega,42.3681,-71.15694
266,Donohue's Bar and Grill,42.3682956,-71.1576568
267,Tommy Doyle's,42.3608394,-71.2007717
268,Jeveli's Restaurant,42.3795627367404,-71.0274490718168
269,La Hacienda Restaurant and Bar,42.37399,-71.03925
270,Chelsea Station Restaurant Bar & Lounge,42.3946237851425,-71.039215028286
271,Lucia Ristorante,42.3655959453319,-71.0527254227018
272,Navy Yard Bistro,42.375161,-71.054748
273,Tangierino,42.37395,-71.06288
274,Pier 6 Boston Waterfront,42.3753776311845,-71.0533709628772
275,Monument Restaurant & Tavern,42.3769209851841,-71.0660490700896
276,Southern Kin Cookhouse,42.3942825,-71.0793609
277,Fuji at Assembly,42.3941328067803,-71.0798665158369
278,Casa B Tapas and Cocktail & Rum Bar,42.3797093,-71.0942732
279,Bronwyn,42.379764,-71.094594
280,Vinny's Ristorante,42.3868057,-71.081687
281,Tavern at the End of the World,42.38218,-71.07938
282,Bull McCabe's Pub,42.3810112,-71.0993869
283,Parlor Sports,42.3745613098145,-71.101448059082
284,The Independent,42.379665,-71.094874
285,Aeronaut Brewing Company,42.3817102313955,-71.1052125283033
286,El Potro Mexican Grill,42.3799987034502,-71.0951900482178
287,Bukowski Tavern,42.37367,-71.09877
288,Temple Bar,42.38273,-71.12006
289,Christopher's,42.3890113830566,-71.1200332641602
290,Daedalus Restaurant & Pub,42.3712908462239,-71.11647605896
291,Newtowne Grille,42.3897728,-71.1203033
292,Tasty Burger,42.372608,-71.119917
293,Noir,42.3723605737327,-71.1219387628603
294,Nirvana The Taste of India,42.38243,-71.11984
295,Rosebud American Kitchen & Bar,42.39444,-71.1208
296,Five Horses Tavern,42.39567,-71.1208599
297,The Abbey,42.3851057658005,-71.1191113498644
298,Conley's Pub & Grille,42.37565,-71.15754
299,John Brewer's Tavern,42.37453,-71.20956
300,Renegade's Pub,42.38689,-71.0068
301,Luna's Restaurant Italian and Latin Cuisine,42.38659,-71.00916
302,Ciao Market,42.390273,-71.0388332
303,Earls Kitchen + Bar,42.395802,-71.080043
304,Zo Greek,42.39193,-71.07853
305,Olde Magoun's Saloon,42.3966331481934,-71.1041030883789
306,Field & Vine,42.3797093,-71.0944689
307,Foundry on Elm,42.39564,-71.12166
308,Toad,42.3889043927193,-71.1197222024202
309,Spoke Wine Bar,42.3988663296308,-71.1242484911069
310,Saloon,42.3956413269043,-71.1216659545898
311,The Burren,42.395553,-71.1218076
312,Sligo Pub,42.3950870296221,-71.1214927294019
313,Summer Shack-  Cambridge,42.393659192464,-71.1410794906298
314,Acitron Cocina Mexicana,42.415458,-71.151845
315,Volare Restaurant and Bar,42.41021,-71.01247
316,Nino's Restaurant & Bar,42.4096673,-71.0011516
317,The Brown Jug,42.4032536388909,-71.0229346257841
318,Short Path Distillery,42.40532,-71.06652
319,Mystic Station,42.4272503,-71.0708219
320,El Potro Mexican Grill,42.4193088,-71.0799949
